Respondent ID,PU1,PU2,PU3,PEOU1,PEOU2,PEOU3,PE1,PE2,PE3,PS1,PS2,PS3,BI1,BI2,BI3
115017046429.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,7.0,6.0
115016966849.0,6.0,5.0,5.0,7.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,4.0,5.0,5.0
115015174839.0,7.0,5.0,6.0,5.0,5.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0
115013700711.0,6.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,5.0,5.0,5.0,4.0,6.0,6.0,6.0
115013696058.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,5.0,6.0,7.0,7.0,5.0,6.0,6.0,6.0
115013682904.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0
115013673485.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0
115007921550.0,6.0,6.0,6.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0
115007919951.0,5.0,4.0,4.0,5.0,5.0,6.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0
115007788680.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0
115007662421.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,6.0,5.0,6.0,7.0,6.0
115007607351.0,6.0,6.0,7.0,5.0,5.0,6.0,6.0,5.0,7.0,5.0,7.0,6.0,5.0,7.0,6.0
115007572064.0,6.0,7.0,5.0,5.0,6.0,7.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0
115007566556.0,6.0,6.0,5.0,5.0,5.0,6.0,4.0,5.0,7.0,6.0,6.0,5.0,6.0,6.0,6.0
115003631711.0,6.0,5.0,6.0,3.0,6.0,5.0,5.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,5.0
114996825832.0,7.0,7.0,7.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
