Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,PU1,PU2,PU3,PEOU1,PEOU2,PEOU3,PE1,PE2,PE3,PS1,PS2,PS3,BI1,BI2,BI3,Age group,"How comfortable are you with everyday digital technologies (e.g., smartphones, computers, apps)?",Which of the following digital movement or exercise systems have you used before?(Select all that apply),Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Do you currently or have you ever had a close relative or friend living in a care home?,Do you currently work in a healthcare or care profession?,"If you would like to share anything else about how this system could be improved for older adults, please write it here (optional).",PU_scale,PEOU_scale,PE_scale,PS_scale,BI_scale
115017046429.0,438139684.0,2026-01-08 14:14:09,2026-01-08 14:25:40,129.132.70.105,,,,,7.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,7.0,6.0,35–44,Extremely comfortable,,Nintendo Wii or Wii Fit,,Xbox Kinect,"VR fitness games or apps (e.g., Beat Saber, Supernatural)",,"Rehabilitation or therapy movement systems (e.g., Dividat, Tyromotion)",,Yes,No,"To the question of ""this system appears suitable for older adults who may have balance or stability challenges"" I would suggest to dig deeper into interaction design and experiments that have been conducted with this user group (e.g. motion sickness in VR, self-body representation, embodiment, visual feedback, etc.). Good luck!",6.333333333333333,6.0,7.0,6.333333333333333,6.333333333333333
115016966849.0,438139684.0,2026-01-08 10:48:27,2026-01-08 10:57:13,195.176.112.196,,,,,6.0,5.0,5.0,7.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,4.0,5.0,5.0,18–24,Very comfortable,,Nintendo Wii or Wii Fit,"Nintendo Switch movement games (e.g., Ring Fit, Just Dance)",,,"Smartphone exercise apps (e.g., Seven, Peloton, Freeletics, Gymondo)","Rehabilitation or therapy movement systems (e.g., Dividat, Tyromotion)",,No,No,,5.333333333333333,6.333333333333333,5.0,6.0,4.666666666666667
115015174839.0,438139684.0,2026-01-05 17:00:41,2026-01-05 17:19:29,213.55.187.135,,,,,7.0,5.0,6.0,5.0,5.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,35–44,Extremely comfortable,,Nintendo Wii or Wii Fit,"Nintendo Switch movement games (e.g., Ring Fit, Just Dance)",Xbox Kinect,"VR fitness games or apps (e.g., Beat Saber, Supernatural)",,"Rehabilitation or therapy movement systems (e.g., Dividat, Tyromotion)",,No,No,,6.0,5.666666666666667,6.333333333333333,6.333333333333333,7.0
115013700711.0,438139684.0,2026-01-01 17:46:09,2026-01-01 17:54:46,31.10.147.148,,,,,6.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,5.0,5.0,5.0,4.0,6.0,6.0,6.0,55+,Quite comfortable,,,,,,,,Youtube video workout,Yes,No,,5.333333333333333,4.666666666666667,5.666666666666667,4.666666666666667,6.0
115013696058.0,438139684.0,2026-01-01 17:17:00,2026-01-01 17:30:54,31.10.147.148,,,,,6.0,6.0,6.0,4.0,4.0,6.0,6.0,5.0,6.0,7.0,7.0,5.0,6.0,6.0,6.0,25–34,Extremely comfortable,,Nintendo Wii or Wii Fit,,,,,,,No,No,,6.0,4.666666666666667,5.666666666666667,6.333333333333333,6.0
115013682904.0,438139684.0,2026-01-01 16:26:48,2026-01-01 16:35:04,31.10.147.148,,,,,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,55+,Very comfortable,,,,,,,,Youtube Videos,No,No,,6.666666666666667,6.0,6.0,5.333333333333333,6.333333333333333
115013673485.0,438139684.0,2026-01-01 15:44:14,2026-01-01 15:48:11,31.10.147.148,,,,,7.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,25–34,Quite comfortable,None of the above,,,,,,,,Yes,No,"Gruppeangebot für soziale Komponente,  Spiel-Challenge als Motivator, gut dass auf Niveaus anpassbar",6.333333333333333,6.333333333333333,6.666666666666667,7.0,7.0
115007921550.0,438139684.0,2025-12-18 18:21:38,2025-12-18 18:26:00,194.230.148.147,,,,,6.0,6.0,6.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,25–34,Very comfortable,,Nintendo Wii or Wii Fit,,,,,"Rehabilitation or therapy movement systems (e.g., Dividat, Tyromotion)",,Yes,Yes,,6.0,4.666666666666667,6.0,5.333333333333333,6.0
115007919951.0,438139684.0,2025-12-18 18:20:30,2025-12-18 18:23:03,194.230.148.170,,,,,5.0,4.0,4.0,5.0,5.0,6.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,25–34,Extremely comfortable,,Nintendo Wii or Wii Fit,"Nintendo Switch movement games (e.g., Ring Fit, Just Dance)",,"VR fitness games or apps (e.g., Beat Saber, Supernatural)","Smartphone exercise apps (e.g., Seven, Peloton, Freeletics, Gymondo)","Rehabilitation or therapy movement systems (e.g., Dividat, Tyromotion)",,No,Yes,,4.333333333333333,5.333333333333333,4.0,4.333333333333333,5.0
115007788680.0,438139684.0,2025-12-18 15:38:32,2025-12-18 15:49:44,188.154.102.120,,,,,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,25–34,Very comfortable,,,"Nintendo Switch movement games (e.g., Ring Fit, Just Dance)",,,"Smartphone exercise apps (e.g., Seven, Peloton, Freeletics, Gymondo)",,Rouvy and Zwift,No,No,Was ich noch cool fände ist wenn man vor dem Spazieren sehen würde wo man gerade ist und vlt auch nach dem Spazieren die absolvierte Strecke auf einer Karte sehen würde. Allenfalls sogar eine Karte während dem laufen wo man sieht wo man gerade langläuft.,6.333333333333333,6.0,5.666666666666667,6.666666666666667,6.666666666666667
