,Factor1,Factor2,Factor3,Factor4,Factor5
BI1,0.3964484553736993,-0.1909452085148502,0.14449466960358956,0.3178104492438828,-0.39211150369762443
BI2,0.6860409919541713,0.05672592254041544,0.27364896195103183,-0.07653268742542607,-0.11976689149640914
BI3,0.37549708819221633,0.10731831322085525,0.14721322594551006,0.22932089654459242,-0.4584657432278666
PE1,0.8309914383523587,0.25840918859098844,0.14512193741027227,0.2568924976853334,-0.12019006526911354
PE2,0.48840081515941886,0.031174561332406783,0.19272479897257347,0.5749655849083255,-0.008757558850860518
PE3,0.5441541751094296,-0.3099446417099003,0.5508713306406681,0.01896118911738187,0.04500952789918805
PEOU1,0.12244624095531527,0.9650950506515317,-0.06992157810208914,0.0060611486799221365,-0.03545516912770469
PEOU2,0.0226139615833012,0.5639077592280013,0.21568818883082527,0.16846224383510325,0.3275438430607553
PEOU3,-0.024315490762499524,0.41491534615756415,0.47905084277157234,0.06499580409945908,-0.38154876830454304
PS1,0.11087627672434015,-0.06724243443373386,0.4171303178839943,0.17399670120631794,-0.3845225621691929
PS2,0.4013271649852762,-0.12170746506147971,0.7071561643787823,-0.31788180728151766,-0.06814079777089907
PS3,0.17957085731616945,0.06641280725815758,0.8886178574306857,0.33060712200853504,-0.0599027064656625
PU1,0.41570646064236777,0.24020308704477855,0.24008092608747061,0.18773300670144494,-0.1435755683063513
PU2,0.1764934032199606,0.096306000900974,0.2553025658913631,0.5850839501727767,-0.20793615991169095
PU3,0.6383547170775401,0.030278144676708807,0.37572794488029637,0.10305571178496134,0.06831799766775891
