,Factor1,Factor2,Factor3,Factor4,Factor5
BI1,0.5204813868089507,-0.1901398194541847,-0.30704129921038587,0.22268059069282803,-0.1354623309214995
BI2,0.6480481828948631,-0.06778001707967657,-0.08468735519290614,-0.33436728033829627,-0.15944021917514917
BI3,0.5330513940958064,0.07753024073898962,-0.20732660078481532,0.1773540421850745,-0.269021237346204
PE1,0.7955812296321283,0.20486871317852656,-0.3472087291847486,-0.2501194798896587,-0.02806287249255625
PE2,0.6328034335873353,0.06639709725328047,-0.3204981717558193,0.11781423760181739,0.29302584111912083
PE3,0.665982026026168,-0.4415443349871921,0.09480743372957116,-0.1929823894259013,0.11528201751295448
PEOU1,0.17170570499914964,0.9295432152289304,0.0798871508513886,-0.17303369622899953,-0.15075913681245065
PEOU2,0.19515281359031478,0.5364449023722022,0.2406121827803454,-0.1087533926565937,0.32420667305307765
PEOU3,0.4324697124168684,0.3044123037173769,0.3643248518041103,0.2720037243361311,-0.2561719894254896
PS1,0.46094877732963435,-0.13357696357388765,0.1123336769814995,0.31482964356237597,-0.16398813586833053
PS2,0.6099628247261665,-0.3504322555820424,0.4402377079024374,-0.26529549767099514,-0.15029869960583564
PS3,0.7869615485761721,-0.06620004967686548,0.43853730675234487,0.2652493245036244,0.22983549464061978
PU1,0.5506371709685466,0.18404017821958937,-0.06517308902308627,-0.03325984873785901,-0.03974960143323908
PU2,0.5128953078222207,0.13479911444803303,-0.15286895892096183,0.4012492779598925,0.15988290397061838
PU3,0.6866106717402302,-0.07047268119707477,-0.04114318492946838,-0.2723793973060058,0.11220034258156483
