,BI1,BI2,BI3,PE1,PE2,PE3,PEOU1,PEOU2,PEOU3,PS1,PS2,PS3,PU1,PU2,PU3
BI1,1.0,0.5853694070049636,0.7359481439965243,0.5116923685290784,0.6807684226400541,0.47079498436165546,-0.2287978611249325,-0.05968647468722253,0.30974837520809706,0.4545454545454548,0.3023260843035339,0.3718092925235409,0.6102897945428862,0.39473313217236417,0.39473313217236383
BI2,0.5853694070049636,1.0,0.6585527740981747,0.7676103107863971,0.5025189076296059,0.7182163150854799,0.1484664446943482,0.13217526428635742,0.2771739468734333,0.30662207033593336,0.6852518315080579,0.4383570037596044,0.7645528515426074,0.2837351852625169,0.7996173402852746
BI3,0.7359481439965243,0.6585527740981747,1.0,0.6026752257506165,0.4873773249664941,0.38698637457445506,0.21713222235566884,0.014243626957571962,0.4208834246473212,0.46559984620188255,0.2673695281459153,0.46114013204109017,0.7864561805867952,0.5976258481969045,0.4864396438812013
PE1,0.5116923685290784,0.7676103107863971,0.6026752257506165,1.0,0.7340056307937927,0.37956567362162746,0.33072926423882043,0.19306216495510026,0.25365601296401685,0.36863858808008865,0.41510453542071885,0.4161455870818982,0.7819967492686538,0.4429503274772218,0.7687988442420747
PE2,0.6807684226400541,0.5025189076296059,0.4873773249664941,0.7340056307937927,1.0,0.440086229423352,0.09592353720958528,0.2630254549223457,0.2051290376273484,0.4286319698104045,0.2351092977947656,0.5097970656333186,0.6915640748081249,0.4899646149444459,0.4899646149444458
PE3,0.47079498436165546,0.7182163150854799,0.38698637457445506,0.37956567362162746,0.440086229423352,1.0,-0.23439169532809892,-0.03858462689971193,0.16287615062274755,0.3661738767257322,0.6947161607624153,0.5266597241998389,0.5362318840579713,0.3603556986781893,0.7045760675648175
PEOU1,-0.2287978611249325,0.1484664446943482,0.21713222235566884,0.33072926423882043,0.09592353720958528,-0.23439169532809892,1.0,0.5500212378683943,0.36073955268291114,-0.026604402456387746,-0.13982559594708074,0.05179940670096221,0.4378259969336186,0.15263529895042097,0.07385578981471982
PEOU2,-0.05968647468722253,0.13217526428635742,0.014243626957571962,0.19306216495510026,0.2630254549223457,-0.03858462689971193,0.5500212378683943,1.0,0.34170967011820313,-0.046422813645617504,0.06183973000894168,0.23341523851834078,0.4464792541252427,0.1288731657416152,0.12887316574161525
PEOU3,0.30974837520809706,0.2771739468734333,0.4208834246473212,0.25365601296401685,0.2051290376273484,0.16287615062274755,0.36073955268291114,0.34170967011820313,1.0,0.2971055843832769,0.3268769315140883,0.4970501217477085,0.4571040356186784,0.3919201049846629,0.2983272440928031
PS1,0.4545454545454548,0.30662207033593336,0.46559984620188255,0.36863858808008865,0.4286319698104045,0.3661738767257322,-0.026604402456387746,-0.046422813645617504,0.2971055843832769,1.0,0.5513005066711504,0.5498588128869267,0.505668686906963,0.43355934189423595,0.2264862233775859
PS2,0.3023260843035339,0.6852518315080579,0.2673695281459153,0.41510453542071885,0.2351092977947656,0.6947161607624153,-0.13982559594708074,0.06183973000894168,0.3268769315140883,0.5513005066711504,1.0,0.617046895797205,0.45821704220499754,0.04936938709880205,0.5759761828193568
PS3,0.3718092925235409,0.4383570037596044,0.46114013204109017,0.4161455870818982,0.5097970656333186,0.5266597241998389,0.05179940670096221,0.23341523851834078,0.4970501217477085,0.5498588128869267,0.617046895797205,1.0,0.5614802018328862,0.48943277427109816,0.5669666791061234
PU1,0.6102897945428862,0.7645528515426074,0.7864561805867952,0.7819967492686538,0.6915640748081249,0.5362318840579713,0.4378259969336186,0.4464792541252427,0.4571040356186784,0.505668686906963,0.45821704220499754,0.5614802018328862,1.0,0.5324658831215034,0.6615485214539888
PU2,0.39473313217236417,0.2837351852625169,0.5976258481969045,0.4429503274772218,0.4899646149444459,0.3603556986781893,0.15263529895042097,0.1288731657416152,0.3919201049846629,0.43355934189423595,0.04936938709880205,0.48943277427109816,0.5324658831215034,1.0,0.5209580838323357
PU3,0.39473313217236383,0.7996173402852746,0.4864396438812013,0.7687988442420747,0.4899646149444458,0.7045760675648175,0.07385578981471982,0.12887316574161525,0.2983272440928031,0.2264862233775859,0.5759761828193568,0.5669666791061234,0.6615485214539888,0.5209580838323357,1.0
